time_boot_ms,C,Q1,Q2,Q3,Q4
96456.216,1,0.9999832510948181,-0.0014770173002034426,0.005592344794422388,0.00019038257596548647
96496.26,1,0.9999831914901733,-0.001469452865421772,0.005602919962257147,0.00019827786309178919
96536.233,1,0.9999831914901733,-0.0014700987376272678,0.005608096718788147,0.00020316096197348088
96576.236,1,0.9999831318855286,-0.001461591455154121,0.0056225028820335865,0.00018622545758262277
96616.199,1,0.9999831318855286,-0.001477605663239956,0.005613174755126238,0.0001994923804886639
96656.229,1,0.9999832510948181,-0.0014711483381688595,0.005595947615802288,0.00018304302648175508
96696.277,1,0.9999833703041077,-0.0014637622516602278,0.005577090661972761,0.00020332982239779085
96736.232,1,0.9999834299087524,-0.0014744456857442856,0.005566522944718599,0.00018647071556188166
96776.272,1,0.9999833106994629,-0.0014823159435763955,0.005582054145634174,0.00019639705715235323
96816.231,1,0.9999833106994629,-0.0014700309839099646,0.0055859326384961605,0.000187064622878097
96856.239,1,0.9999834895133972,-0.00147171167191118,0.005546334199607372,0.0001999885425902903
96896.231,1,0.9999834895133972,-0.0014895139029249549,0.0055508483201265335,0.00020124205911997706
96936.262,1,0.9999834299087524,-0.0014935954241082072,0.00554991327226162,0.0002199698064941913
96976.272,1,0.9999834299087524,-0.0014991245698183775,0.0055550928227603436,0.0002264656504848972
97016.246,1,0.9999833703041077,-0.0015117466682568192,0.005558170843869448,0.0002513144281692803
97056.206,1,0.9999834299087524,-0.0015139522729441524,0.005544548854231834,0.0002775512111838907
97096.226,1,0.9999834299087524,-0.0015421145362779498,0.005543127190321684,0.000292051350697875
97136.236,1,0.9999834895133972,-0.0015433636726811528,0.005527947563678026,0.00030687046819366515
97176.273,1,0.9999834299087524,-0.001521733240224421,0.0055422536097466946,0.0002890819450840354
97216.296,1,0.9999834299087524,-0.001521578524261713,0.005545147694647312,0.0003095018910244107
97256.273,1,0.9999834299087524,-0.0015128167578950524,0.005547582171857357,0.00029985865694470704
97296.207,1,0.9999834299087524,-0.0014985792804509401,0.005549298599362373,0.00028321827994659543
97336.232,1,0.9999836087226868,-0.0015051824739202857,0.005520893260836601,0.00028110796120017767
97376.204,1,0.9999836683273315,-0.0015126061625778675,0.0054992507211863995,0.000299110688501969
97416.256,1,0.9999836087226868,-0.0015186128439381719,0.005510543938726187,0.0002807707933243364
97456.274,1,0.999983549118042,-0.0015024407766759396,0.005528915673494339,0.0002752472064457834
97496.29,1,0.9999834895133972,-0.0014970633201301098,0.005539600737392902,0.0002667841035872698
97536.205,1,0.9999833703041077,-0.0014941551489755511,0.005564311984926462,0.00027801570831798017
97576.235,1,0.9999833106994629,-0.001512204296886921,0.005566515494138002,0.00030485980096273124
97616.249,1,0.9999833703041077,-0.0015116980066522956,0.00555588910356164,0.0003003710589837283
97656.272,1,0.9999832510948181,-0.001518530654720962,0.005581615027040243,0.00029872095910832286
97696.295,1,0.9999832510948181,-0.0015046322951093316,0.0055768173187971115,0.0002832470345310867
97736.243,1,0.9999833703041077,-0.001495430595241487,0.005565738771110773,0.00028006109641864896
97776.242,1,0.9999834299087524,-0.0014810237335041165,0.0055595021694898605,0.000293783814413473
97816.231,1,0.9999834299087524,-0.0014701696345582604,0.005556229501962662,0.0002773153828456998
97856.293,1,0.9999833106994629,-0.0014915360370650887,0.005572164431214333,0.00027037292602472007
97896.271,1,0.9999832510948181,-0.0015011432114988565,0.005578863900154829,0.000267908675596118
97936.254,1,0.9999832510948181,-0.001517948228865862,0.005575043149292469,0.0002652457042131573
97976.201,1,0.9999834299087524,-0.001523748505860567,0.005547170527279377,0.00024908757768571377
98016.225,1,0.9999834299087524,-0.0015391733031719923,0.005541986785829067,0.00023978242825251073
98056.223,1,0.999983549118042,-0.001529123866930604,0.005525014363229275,0.000253369304118678
98096.264,1,0.9999834895133972,-0.0015405829763039947,0.005529267713427544,0.000234530569287017
98136.277,1,0.9999834895133972,-0.0015612130519002676,0.005530282389372587,0.00021104203187860548
98176.251,1,0.9999834299087524,-0.0015520817833021283,0.005537259858101606,0.00021371911861933768
98216.216,1,0.9999834895133972,-0.001548777217976749,0.005533268675208092,0.00021682222723029554
98256.225,1,0.9999834299087524,-0.0015532667748630047,0.005536796059459448,0.00022331083891913295
98296.228,1,0.9999833703041077,-0.0015429925406351686,0.0055567603558301926,0.0002330981515115127
98336.255,1,0.9999833106994629,-0.0015504304319620132,0.005556278862059116,0.00023675945703871548
98376.281,1,0.9999832510948181,-0.001552432426251471,0.005573765374720097,0.0002395894844084978
98416.242,1,0.9999832510948181,-0.0015609266702085733,0.005570702720433474,0.00024387748271692544
98456.203,1,0.9999832510948181,-0.0015577824087813497,0.005568840075284243,0.00022273902141023427
98496.229,1,0.9999832510948181,-0.001551299006678164,0.0055731539614498615,0.00022950505081098527
98536.264,1,0.9999832510948181,-0.0015441974392160773,0.005579553544521332,0.0002018935774685815
